id,val,x,N
Bar0,1.829268292682927,Farmer,0
Bar1,2.6097560975609753,Farmer,11
Bar2,3.2439024390243905,Farmer,23
Bar3,3.642276422764228,Farmer,34
Bar4,4.105691056910569,Farmer,46
Bar5,2.0650406504065044,Retail hybrid,0
Bar6,3.154471544715447,Retail hybrid,11
Bar7,3.650406504065041,Retail hybrid,23
Bar8,4.097560975609756,Retail hybrid,34
Bar9,4.861788617886179,Retail hybrid,46
Bar10,2.341463414634146,Authentic hybrid,0
Bar11,3.560975609756097,Authentic hybrid,11
Bar12,4.2926829268292686,Authentic hybrid,23
Bar13,4.707317073170732,Authentic hybrid,34
Bar14,5.504065040650406,Authentic hybrid,46

