year,val,class
1988,0.722408027,China
1989,0.903010033,China
1990,1.063545151,China
1991,1.404682274,China
1992,1.745819398,China
1993,2.267558528,China
1994,2.408026756,China
1995,2.468227425,China
1996,2.74916388,China
1997,3.030100334,China
1998,3.331103679,China
1999,3.752508361,China
2000,4.37458194,China
2001,4.836120401,China
2002,5.197324415,China
2003,5.598662207,China
2004,6.240802676,China
2005,7.143812709,China
2006,7.585284281,China
2007,8.448160535,China
1988,0.983277592,Other LC
1989,1.043478261,Other LC
1990,1.183946488,Other LC
1991,1.284280936,Other LC
1992,1.324414716,Other LC
1993,1.525083612,Other LC
1994,1.665551839,Other LC
1995,1.685618729,Other LC
1996,1.826086957,Other LC
1997,1.765886288,Other LC
1998,1.685618729,Other LC
1999,1.765886288,Other LC
2000,1.886287625,Other LC
2001,2.046822742,Other LC
2002,2.086956522,Other LC
2003,2.16722408,Other LC
2004,2.307692308,Other LC
2005,2.367892977,Other LC
2006,2.387959866,Other LC
2007,2.568561873,Other LC
